ID_ENTIDAD;RAZON_SOCIAL;NOMBRE_COMERCIAL;BIT_ACTIVO;ID_ESTADO
91;UNIVERSIDAD AUTONOMA DEL PERU S.A.C.;UNIVERSIDAD AUTÓNOMA DEL PERÚ S.A.C.;1;1
92;UNIVERSIDAD DE CIENCIAS Y HUMANIDADES;UNIVERSIDAD DE CIENCIAS Y HUMANIDADES;1;1
93;UNIVERSIDAD JAIME BAUSATE Y MEZA;UNIVERSIDAD JAIME BAUSATE Y MEZA;1;1
94;UNIVERSIDAD PRIVADA JUAN MEJIA BACA;UNIVERSIDAD PRIVADA JUAN MEJÍA BACA;1;2
95;UNIVERSIDAD PERUANA DEL CENTRO;UNIVERSIDAD PERUANA DEL CENTRO;1;2
96;UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA;UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA;1;2
97;UNIVERSIDAD LE CORDON BLEU;UNIVERSIDAD LE CORDON BLEU;1;1
98;UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT SOCIEDAD ANONIMA CERRADA;UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT SOCIEDAD ANÓNIMA CERRADA;1;1
99;UNIVERSIDAD DE LAMBAYEQUE;UNIVERSIDAD DE LAMBAYEQUE;1;2
100;UNIVERSIDAD DE CIENCIAS Y ARTES DE AMERICA LATINA;UNIVERSIDAD DE CIENCIAS Y ARTES DE AMÉRICA LATINA;1;1
101;UNIVERSIDAD PERUANA DE ARTE ORVAL;UNIVERSIDAD PERUANA DE ARTE ORVAL;1;2
102;UNIVERSIDAD CIENCIAS DE LA SALUD;UNIVERSIDAD CIENCIAS DE LA SALUD;1;2
104;UNIVERSIDAD DE AYACUCHO FEDERICO FROEBEL SAC;UNIVERSIDAD DE AYACUCHO FEDERICO FROEBEL S.A.C.;1;2
105;UNIVERSIDAD PERUANA DE INVESTIGACION Y NEGOCIOS;UNIVERSIDAD PERUANA DE INVESTIGACIÓN Y NEGOCIOS;1;2
106;UNIVERSIDAD PERUANA AUSTRAL DEL CUSCO;UNIVERSIDAD PERUANA AUSTRAL DEL CUSCO;1;2
107;UNIVERSIDAD SAN ANDRES SAC;UNIVERSIDAD SAN ANDRÉS S.A.C.;1;2
108;UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO;UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO;1;2
109;UNIVERSIDAD PRIVADA JUAN PABLO II;UNIVERSIDAD PRIVADA JUAN PABLO II;1;2
110;UNIVERSIDAD AUTONOMA SAN FRANCISCO;UNIVERSIDAD AUTÓNOMA SAN FRANCISCO;1;2
111;UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA;UNIVERSIDAD NACIONAL  INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA;1;1
112;UNIVERSIDAD NACIONAL DE FRONTERA;UNIVERSIDAD NACIONAL DE FRONTERA;1;1
113;UNIVERSIDAD NACIONAL DE CAÑETE;UNIVERSIDAD NACIONAL DE CAÑETE;1;1
114;UNIVERSIDAD NACIONAL DE JULIACA;UNIVERSIDAD NACIONAL DE JULIACA;1;1
115;UNIVERSIDAD NACIONAL DE JAEN;UNIVERSIDAD NACIONAL DE JAÉN;1;1
116;UNIVERSIDAD PRIVADA LEONARDO DA VINCI;UNIVERSIDAD PRIVADA LEONARDO DA VINCI SAC.;1;2
117;UNIVERSIDAD NACIONAL DE BARRANCA;UNIVERSIDAD NACIONAL DE BARRANCA;1;1
118;UNIVERSIDAD DE INGENIERIA Y TECNOLOGIA;UNIVERSIDAD DE INGENIERÍA Y TECNOLOGÍA;1;1
119;MARINA DE GUERRA DEL PERU;ESCUELA NAVAL DEL PERÚ;1;1
