ID_ENTIDAD;RAZON_SOCIAL;NOMBRE_COMERCIAL;BIT_ACTIVO;ID_ESTADO
267;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA IGNACIO AMADEO RAMOS OLIVERA;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA IGNACIO AMADEO RAMOS OLIVERA;1;1
268;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PRIVADA MARÍA MONTESSORI;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PRIVADA MARÍA MONTESSORI;1;1
269;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA DAVID SÁNCHEZ INFANTE;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA DAVID SÁNCHEZ INFANTE;1;1
270;"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PRIVADA ""CALIDAD EN REDES DE APRENDIZAJE"" - CREA";"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PRIVADA ""CALIDAD EN REDES DE APRENDIZAJE"" - CREA";1;1
271;"INSTITUTO DE EDUCACIÓN SUPERIOR PEDAGÓGICO PÚBLICO ""MARCOS DURÁN MARTEL""";"INSTITUTO DE EDUCACIÓN SUPERIOR PEDAGÓGICO PÚBLICO ""MARCOS DURÁN MARTEL""";1;1
272;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PUBLICO LORETO;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PUBLICA LORETO;1;1
273;"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""SAN FRANCISCO DE ASÍS""";"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""SAN FRANCISCO DE ASÍS""";1;1
274;"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""INDOAMÉRICA""";"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""INDOAMÉRICA""";1;1
275;ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA PUBLICA JULIACA;ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA PUBLICA JULIACA;1;1
276;ESCUELA SUPERIOR PEDAGÓGICA PUBLICA MONSEÑOR FRANCISCO GONZALES BURGA;ESCUELA SUPERIOR PEDAGÓGICA PUBLICA MONSEÑOR FRANCISCO GONZALES BURGA;1;1
277;UNIVERSIDAD NACIONAL TECNOLÓGICA DE FRONTERA SAN IGNACIO DE LOYOLA;UNIVERSIDAD NACIONAL TECNOLÓGICA DE FRONTERA SAN IGNACIO DE LOYOLA;1;1
278;ESCUELA DE EDUCACIÓN SUPERIOR TECNOLÓGICA PRIVADA KHIPU;ESCUELA DE EDUCACIÓN SUPERIOR TECNOLÓGICA PRIVADA KHIPU;1;1
279;"INSTITUTO DE EDUCACION SUPERIOR PEDAGOGICO PUBLICO ""MONSEÑOR ELIAS OLAZAR""";"Escuela de Educación Superior Pedagógica Pública ""Monseñor Elías Olázar""";1;1
280;"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""MERCEDES CABELLO DE CARBONERA""";"Escuela de Educación Superior Pedagógica Pública ""Mercedes Cabello de Carbonera""";1;1
281;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA TEODORO PEÑALOZA;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA TEODORO PEÑALOZA;1;1
282;INSTITUTO EUROPEO ZAHNARTZ SRL;INSTITUTO EUROPEO ZAHNARTZ SRL;1;1
283;ACADEMIA DE LA MAGISTRATURA;ACADEMIA DE LA MAGISTRATURA;1;1
284;GETOVERHERE;GETOVERHERE;0;1
