ID_ENTIDAD;GUID_ENTIDAD;RUC;RAZON_SOCIAL;NOMBRE_COMERCIAL
428;B1FFF3D9-A62F-49C2-B6EF-83DCADDBD0EA;18648357472;DISTRIBUCIONES GENERALES NO GUBERNAMENTAL 57472 S.A.;DISTRIBUCIONES GENERALES NO GUBERNAMENTAL 57472
429;509F0041-D12A-46D5-97EC-3EE6C73AF082;10648381622;CENTRO EMPRESARIAL ESTATAL 81622 S.A.C;CENTRO EMPRESARIAL ESTATAL 81622
430;98BFB48C-1F8F-454B-89CF-7BAFA523DC8C;11648386648;MERCADOS MAYORISTAS MUNICIPAL 86648 SRL;MERCADOS MAYORISTAS MUNICIPAL 86648
431;DC1CB9A0-BA23-486F-9371-A59C235EB13D;19648383856;OPERACIONES INDUSTRIALES OTRO 83856 SRL;OPERACIONES INDUSTRIALES OTRO 83856
432;516EC44A-0F34-4D4C-B037-A0ED1E05A2A5;13648406839;DESARROLLO TERRITORIAL PRIVADA 06839 S.A;DESARROLLO TERRITORIAL PRIVADA 06839
433;D84CC1A4-5D74-492C-BA6E-DB51BC2390D0;16648424822;PLATAFORMA LOGISTICA NO GUBERNAMENTAL 24822 EIRL;PLATAFORMA LOGISTICA NO GUBERNAMENTAL 24822
434;1BF1C94F-46A5-44F6-AE50-6D3D909F2831;17648424843;SERVICIOS DIGITALES PARTICULAR 24843 EIRL;SERVICIOS DIGITALES PARTICULAR 24843
435;DD34C886-EA6A-4D18-B382-054C27D152E8;15648424692;RED COMERCIAL PUBLICA 24692 COOPERATIVA;RED COMERCIAL PUBLICA 24692
436;F9F192EB-3671-440E-BB13-A78FBA38A2C3;18648433622;UNIVERSIDAD NACIONAL SAN MARCOS 33622 S.A.;UNIVERSIDAD NACIONAL SAN MARCOS 33622
437;4C88E31C-F20C-4255-A3B8-716493165B37;10648444971;MINISTERIO DE SALUD 44971 FUNDACION;MINISTERIO DE SALUD 44971
438;BDE3A1E4-E877-4264-8D63-C055BF86B15B;12648554292;UNIVERSIDAD CATOLICA 54292 S.C.R.L;UNIVERSIDAD CATOLICA 54292
439;3E7D5117-3A58-4F22-8F56-62032EB5CEA5;13648559824;MINISTERIO DE EDUCACION 59824 S.S.;MINISTERIO DE EDUCACION 59824
440;3C96D2BC-B8AA-4030-B42E-E92CE5291512;11649419583;CONSORCIO NACIONAL 19583 S.C.R.L;CONSORCIO NACIONAL 19583
441;1184EEF4-30F9-47E5-9358-F7DF1C41D12B;52344248095;EMPRESA ESTATAL 48095 HOLDING S.A.;EMPRESA ESTATAL 48095 HOLDING
442;F2265640-2424-47AE-98DA-822A45CBF808;13651282619;INDUSTRIA PUBLICA 82619 SRL;INDUSTRIA PUBLICA 82619
443;7E5913A7-DAA4-4C9C-BCC0-39AEA874F0A0;11651283037;CONSORCIO NACIONAL 83037 S.A.;CONSORCIO NACIONAL 83037
444;4B24956B-A5B3-4541-A207-E92F0E3AACB9;15651283310;COMERCIO NO GUBERNAMENTAL 83310 S.A.;COMERCIO NO GUBERNAMENTAL 83310
445;6FB88DC1-6764-42D0-804A-2169C00B9963;12651287275;UNIVERSIDAD PRIVADA 87275 S.C.R.L;UNIVERSIDAD PRIVADA 87275
446;4CECA37E-CD2B-4A36-A5A7-101A1064EE9C;14651288336;CORPORACION PARTICULAR 88336 ASOC.;CORPORACION PARTICULAR 88336
447;2DB2D2A5-E7D2-4F17-803B-40DB3597FB4D;83146864052;EMPRESA ESTATAL 64052 INVERSIONES S.A.C.;EMPRESA ESTATAL 64052 INVERSIONES
448;22861CC5-F738-4B1E-8956-131EB2176637;12651416174;LOGISTICA NACIONAL NACIONAL 16174 S.R.L.;LOGISTICA NACIONAL NACIONAL 16174
449;7E89F3AD-2A27-4F49-993C-401846C1F8ED;14651446734;CONSULTORIA ESTRATEGICA PRIVADA 46734 S.A.C.;CONSULTORIA ESTRATEGICA PRIVADA 46734
450;918397BC-0152-478C-834E-F04A8EDD109D;15651444991;SOLUCIONES EMPRESARIALES OTRO 44991 S.A.A.;SOLUCIONES EMPRESARIALES OTRO 44991
451;BC6767CF-67C1-450E-A90B-5D62387804ED;13651446908;ALMACENES MUNICIPAL 46908 INVERSIONES S.A.C.;ALMACENES MUNICIPAL 46908 INVERSIONES
452;C55AEFF2-1F2F-47CE-AC35-A848E18FA1B6;17651458388;INVERSIONES REGIONAL 58388 FUNDACION;INVERSIONES REGIONAL 58388
453;776602A2-2CAA-45CE-B35E-DA476A280F88;18651476614;EXPORTACIONES ANDINAS PARTICULAR 76614 FUNDACION;EXPORTACIONES ANDINAS PARTICULAR 76614
454;B63F1557-8614-4EF4-AFA1-35B6649FEC48;19651477196;TECNOLOGIAS APLICADAS ESTATAL 77196 S.S;TECNOLOGIAS APLICADAS ESTATAL 77196
455;DEBB8497-8842-42BB-9ED5-D2FF60C08CF7;10651479880;DISTRIBUCIONES GENERALES NO GUBERNAMENTAL 79880 INVERSIONES S.A.C.;DISTRIBUCIONES GENERALES NO GUBERNAMENTAL 79880 INVERSIONES
456;13F692CA-D1C1-4328-AA61-56D3DD8B770D;11651485966;IMPORTACIONES DEL PACIFICO PUBLICA 85966 INVERSIONES S.A.C.;IMPORTACIONES DEL PACIFICO PUBLICA 85966 INVERSIONES
457;66C7BA2C-90B9-4DBD-9B84-FCE7F3A04CF1;17651566812;UNIDAD CORPORATIVA NACIONAL 66812 S.A;UNIDAD CORPORATIVA NACIONAL 66812
458;3612F45B-126F-4521-BEB1-FFA23AC0979C;18651580046;DESARROLLO TERRITORIAL PRIVADA 80046 S.S;DESARROLLO TERRITORIAL PRIVADA 80046
459;2866B2FD-F36F-42A2-9EFB-FAAC57D85310;19651593500;RED COMERCIAL PUBLICA 93500 S.R.L.;RED COMERCIAL PUBLICA 93500
460;96AFF52B-FE43-45A2-8F77-0619772C9257;10651615555;MERCADOS MAYORISTAS MUNICIPAL 15555 INVERSIONES S.A.C.;MERCADOS MAYORISTAS MUNICIPAL 15555 INVERSIONES
461;81455E9A-7D88-40E2-86A8-DA3B8A7E138B;11651629070;PROYECTOS Y OBRAS REGIONAL 29070 HOLDING S.A.;PROYECTOS Y OBRAS REGIONAL 29070 HOLDING
462;BEBB90E8-C76C-4B59-9F63-749D87E68597;12651634796;SERVICIOS DIGITALES PARTICULAR 34796 COOP.;SERVICIOS DIGITALES PARTICULAR 34796
463;B677F84B-BEDF-4558-8929-232FE77917F1;14651643363;GESTION ADMINISTRATIVA INTERNACIONAL 43363 SERVICIOS GENERALES S.A.C.;GESTION ADMINISTRATIVA INTERNACIONAL 43363 SERVICIOS GENERALES
464;A4D0B45B-3F6A-460D-94DA-BCDE9BD538FA;13651649326;CENTRO EMPRESARIAL ESTATAL 49326 SAA;CENTRO EMPRESARIAL ESTATAL 49326
465;C0A5A244-A0CD-4F42-A328-BC72357A7518;15651652331;OPERACIONES INDUSTRIALES OTRO 52331 COOPERATIVA;OPERACIONES INDUSTRIALES OTRO 52331
466;DBCCFA26-FA79-4143-95FE-07A126A9FD48;11651781733;PLATAFORMA LOGISTICA NO GUBERNAMENTAL 81733 S.A;PLATAFORMA LOGISTICA NO GUBERNAMENTAL 81733
467;6E0D41F9-E880-47A9-9F1C-F2A3AC868E6F;12651791674;UNIVERSIDAD CATOLICA 91674 HOLDING S.A.;UNIVERSIDAD CATOLICA 91674 HOLDING
468;86BDFA70-5190-461D-BE51-C0952A37E265;14651809115;UNIVERSIDAD NACIONAL SAN MARCOS 09115 INVERSIONES S.A.C.;UNIVERSIDAD NACIONAL SAN MARCOS 09115 INVERSIONES
469;05843CDE-60D2-4CD0-867E-C526919DE2EA;15651811255;MINISTERIO DE EDUCACION 11255 COOPERATIVA;MINISTERIO DE EDUCACION 11255
470;39C07382-C3D6-4BF8-94A5-C91FDCCB96FA;13651813810;MINISTERIO DE SALUD 13810 S.S;MINISTERIO DE SALUD 13810
471;BC0494FB-FEF9-4C79-A591-C15B20111EE9;13652667776;INDUSTRIA PUBLICA 67776 HOLDING S.A.;INDUSTRIA PUBLICA 67776 HOLDING
472;89FBCD7A-DC66-4A14-A709-D0586B8AD2B7;14652668228;CORPORACION PARTICULAR 68228 GROUP S.A.C.;CORPORACION PARTICULAR 68228 GROUP
473;2DA7880E-14C9-41E9-8FF8-5D1E22BE5E42;12652672636;UNIVERSIDAD PRIVADA 72636 FUNDACION;UNIVERSIDAD PRIVADA 72636
474;0BA33F30-6211-4155-B4E8-8B1B1148B77B;15652672551;COMERCIO NO GUBERNAMENTAL 72551 SAA;COMERCIO NO GUBERNAMENTAL 72551
