"ID","Proyecto","Hallazgo","Tipo","Severidad","ImpactoTecnico","ImpactoNegocio","Recomendacion","Responsable","SLA","Estado","Prioridad","URL"
"SONAR-014","si091_reginsa_frontend","Unexpected empty constructor.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S1186 en si091_reginsa_frontend:src/app/services/reportes.service.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9gsHru0ZB8CW9iO&open=AZzie9gsHru0ZB8CW9iO"
"SONAR-015","si091_reginsa_frontend","Unexpected empty constructor.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S1186 en si091_reginsa_frontend:src/app/services/reconsideracion.service.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9hmHru0ZB8CW9ih&open=AZzie9hmHru0ZB8CW9ih"
"SONAR-016","si091_reginsa_frontend","Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S3776 en si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9d1Hru0ZB8CW9hi&open=AZzie9d1Hru0ZB8CW9hi"
"SONAR-017","si091_reginsa_frontend","Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S3776 en si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9d2Hru0ZB8CW9h2&open=AZzie9d2Hru0ZB8CW9h2"
"SONAR-018","si091_reginsa_frontend","Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S3776 en si091_reginsa_frontend:src/app/layout/app.menuitem.component.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9eyHru0ZB8CW9h-&open=AZzie9eyHru0ZB8CW9h-"
"SONAR-019","si091_reginsa_frontend","Refactor this function to reduce its Cognitive Complexity from 25 to the 15 allowed.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S3776 en si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9d1Hru0ZB8CW9hk&open=AZzie9d1Hru0ZB8CW9hk"
"SONAR-020","si091_reginsa_frontend","Refactor this function to reduce its Cognitive Complexity from 65 to the 15 allowed.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S3776 en si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9d1Hru0ZB8CW9ht&open=AZzie9d1Hru0ZB8CW9ht"
"SONAR-021","si091_reginsa_frontend","Refactor this function to reduce its Cognitive Complexity from 55 to the 15 allowed.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S3776 en si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9d1Hru0ZB8CW9hn&open=AZzie9d1Hru0ZB8CW9hn"
"SONAR-022","si091_reginsa_frontend","Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S3776 en si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9d2Hru0ZB8CW9h0&open=AZzie9d2Hru0ZB8CW9h0"
"SONAR-023","si091_reginsa_frontend","Refactor this function to reduce its Cognitive Complexity from 66 to the 15 allowed.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S3776 en si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9d2Hru0ZB8CW9h1&open=AZzie9d2Hru0ZB8CW9h1"
"SONAR-024","si091_reginsa_frontend","Simplify this intersection as it always has type ""any"".","BUG","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S4335 en si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9d1Hru0ZB8CW9hr&open=AZzie9d1Hru0ZB8CW9hr"
"SONAR-025","si091_reginsa_frontend","Refactor this function to reduce its Cognitive Complexity from 41 to the 15 allowed.","CODE_SMELL","CRITICAL","Degradacion de calidad/mantenibilidad","Riesgo de retrabajo y defectos en produccion","Corregir regla typescript:S3776 en si091_reginsa_frontend:src/app/components/pages/infractor/infractor.component.ts","Equipo Frontend","15 dias","Pendiente","Alta","http://localhost:9000/project/issues?id=si091_reginsa_frontend&issues=AZzie9d1Hru0ZB8CW9hj&open=AZzie9d1Hru0ZB8CW9hj"
